Year,Annual nitrous oxide emissions in CO₂ equivalents,Annual methane emissions in CO₂ equivalents,Annual CO₂ emissions
1850,3.6641177538683305,30.670939009126062,65.66494323700562
1851,3.649620691452925,30.125813423654655,66.22456588489243
1852,3.662300352932362,29.895214173667302,66.44248547340032
1853,3.6561694022765137,29.564079181858315,66.77975141586516
1854,3.635548547882305,29.304174414683352,67.06027703743435
1855,3.665844945902003,29.30055764011485,67.03359741398314
1856,3.658550066327553,29.107424514701464,67.234025418971
1857,3.6716964739071054,29.040111807634055,67.28819171845885
1858,3.6713083442784953,28.90945430631662,67.4192373494049
1859,3.6497907324868075,28.76570745607672,67.58450181143648
1860,3.699779145016401,29.298246483670248,67.00197437131334
1861,3.7779976974430625,30.021808266031396,66.20019403652555
1862,3.7888687885182653,30.160846636853684,66.05028457462805
1863,3.762020189907945,30.131536331186616,66.10644347890545
1864,3.7543356684180322,30.252132822519005,65.99353150906296
1865,3.747032542859924,30.356930944176824,65.89603651296325
1866,3.7406246630672193,30.47308269326256,65.78629264367022
1867,3.710077204581952,30.323438901775678,65.96648389364236
1868,3.7144226128395976,30.41712528076933,65.86845210639108
1869,3.706189002339113,30.49116969572003,65.80264130194087
1870,3.570646232079533,29.4065071138809,67.02284665403955
1871,3.5010879697003032,28.716497353402033,67.78241467689767
1872,3.505671026447622,28.265641885969305,68.22868708758307
1873,3.565487099566405,27.838559094728794,68.5959538057048
1874,3.742528326685325,27.85319705506456,68.40427461825011
1875,3.8533969547934364,27.551202302334843,68.59540074287173
1876,4.0017517839170536,27.39861516631982,68.59963304976311
1877,4.132848345659281,27.225772851088475,68.64137880325224
1878,4.242067336028885,27.055755334277094,68.70217732969402
1879,4.281494023091992,26.78735571673551,68.93115026017249
1880,4.224917655280187,26.36798182952261,69.4071005151972
1881,4.236753715714394,26.46387276409946,69.29937352018615
1882,4.180460469670968,26.16971431416792,69.6498252161611
1883,4.113368303596839,25.873722699108566,70.0129089972946
1884,4.115794179281106,25.876786860902595,70.00741895981629
